mmsi,name,type,tonnage,engine_power,status,orig_code,orig_name,orig_lat,orig_lon,orig_country,dest_code,dest_name,dest_lat,dest_lon,dest_country,risk_region,risk_score,risk_event
101234567,HYUNDAI ALGECIRAS 1,Container Ship,12300,5429,In Transit,CPT,Cape Town,-33.9,18.42,ZA,SAN,Santos,-23.97,-46.29,BR,,0.0,
102469134,HYUNDAI ALGECIRAS 2,Container Ship,8703,3424,In Transit,CPT,Cape Town,-33.9,18.42,ZA,ROT,Rotterdam,51.95,4.05,NL,,0.0,
103703701,COSCO SHIPPING UNIVERSE 3,Container Ship,6543,1979,In Transit,NYC,New York,40.67,-74.04,US,ROT,Rotterdam,51.95,4.05,NL,,0.0,
104938268,CMA CGM ANTOINE 4,Bulk Carrier,20126,8562,In Transit,SGP,Singapore,1.27,103.8,SG,CPT,Cape Town,-33.9,18.42,ZA,,0.0,
106172835,MAERSK VOYAGER 5,Container Ship,17563,9307,In Transit,SAN,Santos,-23.97,-46.29,BR,ROT,Rotterdam,51.95,4.05,NL,,0.0,
107407402,PACIFIC TRADER 6,Bulk Carrier,24055,12242,In Transit,SAN,Santos,-23.97,-46.29,BR,ROT,Rotterdam,51.95,4.05,NL,,0.0,
108641969,MSC ISABELLA 7,Container Ship,6594,3001,In Transit,SHA,Shanghai,31.22,122.0,CN,SGP,Singapore,1.27,103.8,SG,South China Sea,0.6,Territorial disputes
109876536,CMA CGM ANTOINE 8,Bulk Carrier,7550,2749,In Transit,SGP,Singapore,1.27,103.8,SG,CPT,Cape Town,-33.9,18.42,ZA,,0.0,
111111103,PACIFIC TRADER 9,Bulk Carrier,13879,4263,In Transit,SGP,Singapore,1.27,103.8,SG,DXB,Jebel Ali,25.01,55.05,AE,Strait of Hormuz,0.8,High naval tensions
112345670,COSCO SHIPPING UNIVERSE 10,Oil Tanker,18761,8008,In Transit,SGP,Singapore,1.27,103.8,SG,CPT,Cape Town,-33.9,18.42,ZA,,0.0,
113580237,MSC ISABELLA 11,Container Ship,16642,6920,In Transit,LGB,Long Beach,33.75,-118.21,US,TOK,Tokyo,35.61,139.79,JP,,0.0,
114814804,EVER GLOBE 12,Bulk Carrier,24477,9946,In Transit,CPT,Cape Town,-33.9,18.42,ZA,SAN,Santos,-23.97,-46.29,BR,,0.0,
116049371,HYUNDAI ALGECIRAS 13,Bulk Carrier,23904,7339,In Transit,CPT,Cape Town,-33.9,18.42,ZA,ROT,Rotterdam,51.95,4.05,NL,,0.0,
117283938,MAERSK VOYAGER 14,Oil Tanker,10296,3509,In Transit,SHA,Shanghai,31.22,122.0,CN,SGP,Singapore,1.27,103.8,SG,South China Sea,0.6,Territorial disputes
118518505,MSC ISABELLA 15,Oil Tanker,21620,10206,In Transit,SGP,Singapore,1.27,103.8,SG,CPT,Cape Town,-33.9,18.42,ZA,,0.0,
119753072,PACIFIC TRADER 16,Oil Tanker,7508,3829,In Transit,CPT,Cape Town,-33.9,18.42,ZA,SAN,Santos,-23.97,-46.29,BR,,0.0,
120987639,PACIFIC TRADER 17,Bulk Carrier,18608,10752,In Transit,SGP,Singapore,1.27,103.8,SG,DXB,Jebel Ali,25.01,55.05,AE,Strait of Hormuz,0.8,High naval tensions
122222206,MAERSK VOYAGER 18,Container Ship,7757,2400,In Transit,SHA,Shanghai,31.22,122.0,CN,LGB,Long Beach,33.75,-118.21,US,South China Sea,0.6,Territorial disputes
123456773,PACIFIC TRADER 19,Oil Tanker,9996,3064,In Transit,TOK,Tokyo,35.61,139.79,JP,LGB,Long Beach,33.75,-118.21,US,,0.0,
124691340,MV LATTICE 20,Bulk Carrier,5195,2245,In Transit,ROT,Rotterdam,51.95,4.05,NL,SAN,Santos,-23.97,-46.29,BR,,0.0,
125925907,OOCL HONG KONG 21,Oil Tanker,19000,6977,In Transit,ROT,Rotterdam,51.95,4.05,NL,NYC,New York,40.67,-74.04,US,,0.0,
127160474,HAPAG LLOYD BERLIN 22,Container Ship,16212,9085,In Transit,SHA,Shanghai,31.22,122.0,CN,SGP,Singapore,1.27,103.8,SG,South China Sea,0.6,Territorial disputes
128395041,OOCL HONG KONG 23,Oil Tanker,16809,5312,In Transit,SHA,Shanghai,31.22,122.0,CN,LGB,Long Beach,33.75,-118.21,US,South China Sea,0.6,Territorial disputes
