mmsi,name,type,tonnage,engine_power,status,orig_code,orig_name,orig_lat,orig_lon,orig_country,dest_code,dest_name,dest_lat,dest_lon,dest_country,risk_region,risk_score,risk_event
101234567,EVER GLOBE 1,Container Ship,11732,3882,In Transit,TOK,Tokyo,35.61,139.79,JP,LGB,Long Beach,33.75,-118.21,US,,0.0,
102469134,COSCO SHIPPING UNIVERSE 2,Container Ship,8714,3074,In Transit,ROT,Rotterdam,51.95,4.05,NL,SAN,Santos,-23.97,-46.29,BR,,0.0,
103703701,MAERSK VOYAGER 3,Bulk Carrier,18934,8037,In Transit,TOK,Tokyo,35.61,139.79,JP,LGB,Long Beach,33.75,-118.21,US,,0.0,
104938268,MV LATTICE 4,Bulk Carrier,5806,2242,In Transit,SGP,Singapore,1.27,103.8,SG,DXB,Jebel Ali,25.01,55.05,AE,Strait of Hormuz,0.8,High naval tensions
106172835,HYUNDAI ALGECIRAS 5,Oil Tanker,5798,3458,In Transit,DXB,Jebel Ali,25.01,55.05,AE,SGP,Singapore,1.27,103.8,SG,Strait of Hormuz,0.8,High naval tensions
107407402,HYUNDAI ALGECIRAS 6,Bulk Carrier,11899,5979,In Transit,SHA,Shanghai,31.22,122.0,CN,SGP,Singapore,1.27,103.8,SG,South China Sea,0.6,Territorial disputes
108641969,EVER GLOBE 7,Oil Tanker,6556,2230,In Transit,ROT,Rotterdam,51.95,4.05,NL,NYC,New York,40.67,-74.04,US,,0.0,
109876536,HYUNDAI ALGECIRAS 8,Bulk Carrier,19445,7065,In Transit,DXB,Jebel Ali,25.01,55.05,AE,SGP,Singapore,1.27,103.8,SG,Strait of Hormuz,0.8,High naval tensions
111111103,MAERSK VOYAGER 9,Bulk Carrier,19888,8007,In Transit,ROT,Rotterdam,51.95,4.05,NL,SAN,Santos,-23.97,-46.29,BR,,0.0,
112345670,OOCL HONG KONG 10,Container Ship,10772,3778,In Transit,ROT,Rotterdam,51.95,4.05,NL,NYC,New York,40.67,-74.04,US,,0.0,
113580237,MV LATTICE 11,Oil Tanker,21243,11092,In Transit,SHA,Shanghai,31.22,122.0,CN,LGB,Long Beach,33.75,-118.21,US,South China Sea,0.6,Territorial disputes
114814804,MAERSK VOYAGER 12,Bulk Carrier,23968,13237,In Transit,SHA,Shanghai,31.22,122.0,CN,LGB,Long Beach,33.75,-118.21,US,South China Sea,0.6,Territorial disputes
116049371,HYUNDAI ALGECIRAS 13,Bulk Carrier,22962,9914,In Transit,SHA,Shanghai,31.22,122.0,CN,LGB,Long Beach,33.75,-118.21,US,South China Sea,0.6,Territorial disputes
117283938,MSC ISABELLA 14,Oil Tanker,15093,6134,In Transit,NYC,New York,40.67,-74.04,US,ROT,Rotterdam,51.95,4.05,NL,,0.0,
118518505,MAERSK VOYAGER 15,Bulk Carrier,22422,10451,In Transit,ROT,Rotterdam,51.95,4.05,NL,NYC,New York,40.67,-74.04,US,,0.0,
119753072,HYUNDAI ALGECIRAS 16,Container Ship,16910,9908,In Transit,LGB,Long Beach,33.75,-118.21,US,SHA,Shanghai,31.22,122.0,CN,South China Sea,0.6,Territorial disputes
120987639,OOCL HONG KONG 17,Container Ship,10157,5204,In Transit,ROT,Rotterdam,51.95,4.05,NL,SAN,Santos,-23.97,-46.29,BR,,0.0,
122222206,MV LATTICE 18,Container Ship,23747,10674,In Transit,CPT,Cape Town,-33.9,18.42,ZA,ROT,Rotterdam,51.95,4.05,NL,,0.0,
123456773,MSC ISABELLA 19,Container Ship,8980,3995,In Transit,ROT,Rotterdam,51.95,4.05,NL,NYC,New York,40.67,-74.04,US,,0.0,
